rank,Age,Annual_Premium,Vintage,Gender,Driving_License,Previously_Insured,Vehicle_Damage,Vehicle_Age,Region_Code,Policy_Sales_Channel,Response_Prob,True_Response
1,0.8495206402211485,2.677966793239321,-0.7451476882956085,1,1,0,1,0,28,26,0.9437087,1
2,0.8495206402211485,1.9837255961196565,0.7846500127481763,1,1,0,1,0,28,26,0.9395524,1
3,0.913988561109355,0.636520710161559,0.7966015572875808,1,1,0,1,0,28,26,0.9326845,1
4,0.6561168775565288,1.0893795833596174,-0.5539229756651354,1,1,0,1,0,41,26,0.93244314,1
5,0.6561168775565288,2.110134038527327,-0.8885662227684633,1,1,0,1,0,28,26,0.93177146,1
6,0.913988561109355,0.4125415366111875,1.4897911405730455,1,1,0,1,0,30,26,0.93130887,0
7,0.7205847984447353,1.6467201860427436,-0.6375837874409673,1,1,0,1,0,28,26,0.93113434,1
8,0.7850527193329419,0.9768559648943396,-0.2909889957982349,0,1,0,1,0,28,26,0.93016374,1
9,0.7850527193329419,1.0191387092980984,-0.0400065604707389,1,1,0,1,0,28,26,0.9300708,0
10,0.7205847984447353,1.1686047552662144,0.4380552211054437,1,1,0,1,0,41,26,0.9296921,0
11,0.8495206402211485,0.7092746745293935,-0.6614868765197764,1,1,0,1,0,46,26,0.9279062,1
12,-0.4398377775429825,0.1225309152623754,-1.6893197069085693,1,1,0,1,0,41,124,0.9275707,1
13,0.6561168775565288,-0.1867676741874083,-0.7212445992167993,1,1,0,1,0,11,26,0.9269272,1
14,0.913988561109355,0.4642483696636295,0.7607469236693671,0,1,0,1,0,28,26,0.92629814,1
15,0.7850527193329419,0.3867823609714533,1.0595355371544812,1,1,0,1,0,28,26,0.9256331,1
16,0.3982451940037026,0.6771071186085548,1.202954071627336,1,1,0,1,0,11,26,0.92350703,1
17,0.5916489566683223,0.5396410788530953,0.2109758748567569,1,1,0,1,0,28,26,0.9233776,0
18,0.5916489566683223,0.5804787963307226,1.4180818733366185,1,1,0,1,0,28,26,0.92285407,1
19,1.042924402885768,0.8957459752580058,0.7846500127481763,1,1,0,1,0,41,26,0.921503,1
20,0.5271810357801157,0.4362902400058692,-0.757099232835013,0,1,0,1,0,29,26,0.9212712,0
21,0.5271810357801157,0.4382378849932637,1.3822272397184046,1,1,0,1,0,29,26,0.92031354,1
22,0.8495206402211485,0.5493164765324101,0.904165458142222,1,1,0,1,0,18,124,0.92020154,1
23,1.042924402885768,1.4966886947557063,0.4261036765660392,1,1,0,1,0,28,26,0.91942966,1
24,0.5271810357801157,1.568500250258673,-1.4622403606598826,1,1,0,1,0,28,26,0.9188624,1
25,0.4627131148919091,1.0489816566855952,0.2468305084749706,0,1,0,1,0,28,26,0.91765594,1
26,0.3982451940037026,0.9037250369805576,-0.9363724009260816,0,1,0,1,0,28,26,0.9173185,1
27,0.6561168775565288,0.5069080776133356,-0.6973415101379902,1,1,0,1,0,6,26,0.9171052,0
28,0.333777273115496,-0.2623488651498478,-0.7810023219138221,1,1,0,1,0,41,26,0.9162118,0
29,0.5916489566683223,0.1341539579290847,-0.5539229756651354,0,1,0,1,0,28,26,0.9159081,1
30,1.042924402885768,1.018070645917914,-0.8168569555320359,0,1,0,1,0,28,26,0.9152799,1
31,1.107392323773975,1.5036625203557323,1.310517972481977,0,1,0,1,0,28,26,0.91526115,0
32,0.7205847984447353,0.1670126136841603,0.5456191219600849,0,1,0,1,0,28,26,0.91398656,0
33,0.2693093522272895,0.543222232539595,-1.11564556901715,1,1,0,1,0,28,26,0.91380155,1
34,0.3982451940037026,0.5202902834944657,1.179050982548527,0,1,0,1,0,28,26,0.91341156,1
35,0.5916489566683223,1.0647512983577252,-1.4980949942780963,1,1,0,1,0,46,26,0.91212654,1
36,0.8495206402211485,0.5272641090944914,0.1153635185415204,0,1,0,1,0,24,124,0.91193646,1
37,-0.5043056984311891,-0.520254757835479,1.7168704868217326,1,1,0,1,0,11,124,0.9119295,1
38,-0.4398377775429825,0.1313267313344797,-1.725174340526783,1,1,0,1,1,41,26,0.9113245,1
39,0.8495206402211485,-0.1907257914198552,-1.0080816681625089,1,1,0,1,0,28,124,0.9078808,1
40,1.042924402885768,0.3510336513641149,1.6810158532035189,1,1,0,1,0,29,26,0.9073568,1
41,0.8495206402211485,1.27226973040173,1.6451612195853051,1,1,0,1,0,28,124,0.9067428,1
42,0.5271810357801157,0.3799341898867435,-0.9722270345442952,1,1,0,1,0,28,26,0.90627694,0
43,-0.5687736193193956,0.1650021414391078,-1.6893197069085693,0,1,0,1,0,45,124,0.90610534,1
44,-0.4398377775429825,-0.3812180366385723,-1.725174340526783,0,1,0,1,1,41,124,0.90598935,0
45,0.6561168775565288,0.5667196269036452,-0.0758611940889526,0,1,0,1,0,28,124,0.90573835,1
46,0.6561168775565288,-0.3071446998599221,1.4061303287972138,0,1,0,1,0,46,26,0.9044525,1
47,1.3007960864385943,1.2516623898899426,1.1670994380091224,0,1,0,1,0,28,26,0.9040743,0
48,0.6561168775565288,0.8379448982127486,-1.282967192568814,1,1,0,1,0,28,122,0.9039076,0
49,0.7850527193329419,0.4220284525175286,-1.3068702816476232,1,1,0,1,0,28,124,0.9025673,1
50,0.2693093522272895,2.677966793239321,-1.3307733707264322,0,1,0,1,0,28,124,0.90196854,1
51,0.7205847984447353,0.3424891443226421,0.82050464636639,1,1,0,1,0,46,26,0.9017236,1
52,0.5916489566683223,1.1976309483041587,-0.7690507773744176,1,1,0,1,0,28,124,0.90144265,1
53,0.5916489566683223,0.8922904760868219,0.4261036765660392,1,1,0,1,0,28,124,0.90066916,0
54,0.7205847984447353,0.7615469529007566,1.6810158532035189,0,1,0,1,0,46,26,0.9005494,1
55,-0.6977094610958087,-1.7408627196129314,-1.7132227959873785,1,1,0,1,0,41,124,0.9001451,1
56,0.7850527193329419,0.3367090366181163,0.4022005874872301,0,1,0,1,0,28,124,0.90002495,1
57,-0.1819660939901563,-0.410621193222464,1.7168704868217326,0,1,0,1,1,41,26,0.89974165,0
58,0.7850527193329419,0.985588953708786,1.071487081693886,1,1,0,1,0,33,124,0.89956933,0
59,0.9784564819975616,0.2895885933747002,-0.4583106193498988,1,1,0,1,0,8,26,0.8987863,1
60,1.6876036117678337,1.5654217146334364,-1.2471125589506002,0,1,0,1,0,28,26,0.8984141,1
61,1.042924402885768,0.82481400136225,0.1990243303173524,1,1,0,1,0,37,26,0.89817274,1
62,1.107392323773975,0.2572325556808877,-0.1834250949435937,1,1,0,1,0,33,26,0.8981532,1
63,0.5916489566683223,0.8803532971318232,1.7168704868217326,1,1,0,1,2,28,26,0.8979294,1
64,1.2363281655503875,0.931557512123002,0.1034119740021158,1,1,0,1,0,33,26,0.89773846,1
65,0.6561168775565288,-0.0134900975669525,0.1751212412385432,1,1,0,1,0,18,124,0.8972967,1
66,-0.5687736193193956,-0.6073333369493121,-1.2112579253323863,1,1,0,1,0,35,26,0.89725053,1
67,0.5271810357801157,-0.0432702176967916,-0.1356189167859754,1,1,0,1,0,28,26,0.8971147,1
68,-0.3753698566547759,-0.2330713630812719,1.5615004078094732,1,1,0,1,0,41,124,0.89703584,1
69,-0.5687736193193956,0.4793897387591805,-1.6893197069085693,1,1,0,1,0,28,26,0.89693147,0
70,-0.5687736193193956,-0.6694694947729636,1.5615004078094732,0,1,0,1,0,41,124,0.8967043,0
71,-0.5043056984311891,-0.4451761849343025,-1.7132227959873785,0,1,0,1,1,41,124,0.8966666,0
72,0.5271810357801157,0.4410022843302108,-0.482213708428708,1,1,0,1,0,37,26,0.8965203,1
73,0.2693093522272895,0.5511384670044889,-0.3866013521134714,0,1,0,1,0,46,26,0.8958337,1
74,0.333777273115496,0.9037878642382154,1.597355041427687,1,1,0,1,0,33,26,0.89565194,1
75,0.5916489566683223,0.7477249562160211,1.728822031361137,1,1,0,1,2,28,26,0.89557976,0
76,0.4627131148919091,0.4455886741392366,0.9639231808392448,1,1,0,1,0,46,26,0.8940598,1
77,-0.5043056984311891,-0.1105582106483899,1.1431963489303132,1,1,0,1,0,41,26,0.89390963,1
78,0.6561168775565288,-1.7408627196129314,1.0475839926150767,0,1,0,1,0,28,26,0.89383477,1
79,0.5271810357801157,0.7597877896863356,1.7168704868217326,1,1,0,1,2,28,26,0.8933534,1
80,0.7850527193329419,-0.1136367462736264,0.9997778144574584,1,1,0,1,0,28,124,0.8933231,1
81,-0.1174981731019497,0.5470546952567261,1.1670994380091224,1,1,0,1,0,41,124,0.89301413,1
82,0.5271810357801157,0.997903096209732,-0.4702621638893034,0,1,0,1,0,28,124,0.89268184,1
83,0.7205847984447353,-0.2829562056616352,-0.2073281840224029,0,1,0,1,0,28,124,0.89267737,1
84,-0.1819660939901563,0.144080664639031,1.011729358996863,0,1,0,1,0,41,124,0.8926543,1
85,0.4627131148919091,1.0320811243756232,0.7846500127481763,0,1,0,1,0,28,122,0.8925538,1
86,-0.6332415402076021,-0.1833121750162244,1.1910025270879316,0,1,0,1,0,41,124,0.89212286,0
87,0.7205847984447353,0.9374004470851856,1.7168704868217326,1,1,0,1,2,28,26,0.8920907,1
88,0.9784564819975616,0.9627826591789724,-0.6853899655985857,1,1,0,1,0,8,124,0.8919819,1
89,-0.5687736193193956,-0.5191866944552949,-1.5219980833569051,0,1,0,1,0,35,26,0.8918834,0
90,-0.3753698566547759,0.2240597636375227,-1.725174340526783,1,1,0,1,0,46,124,0.8913419,1
91,-0.6332415402076021,-0.688883117389251,-1.175403291714173,1,1,0,1,0,41,124,0.891201,0
92,-0.3753698566547759,-0.4069772122783065,1.3822272397184046,1,1,0,1,0,41,124,0.8910109,1
93,0.5271810357801157,0.5895259214334586,-1.055887846320127,1,1,0,1,0,28,124,0.89081454,1
94,-0.4398377775429825,0.1434523920624522,-1.7132227959873785,0,1,0,1,0,28,124,0.8907769,1
95,0.333777273115496,0.8635155920795091,-1.366628004344646,1,1,0,1,0,28,124,0.8905165,1
96,-0.5043056984311891,0.1795780652157379,-1.7132227959873785,1,1,0,1,0,28,124,0.8904208,0
97,0.3982451940037026,0.4088975556670299,-0.6614868765197764,1,1,0,1,0,28,124,0.89027196,1
98,-0.6332415402076021,0.2155152565960499,1.6690643086641144,0,1,0,1,0,41,124,0.8900059,0
99,-0.3753698566547759,-0.6694066675153056,1.202954071627336,1,1,0,1,0,41,124,0.88988173,1
100,1.171860244662181,0.6597667954949776,1.728822031361137,1,1,0,1,2,10,26,0.88963646,0
101,0.0759055895626698,0.149735117828241,-1.4263857270416689,0,1,0,1,0,28,26,0.8895687,1
102,-0.5043056984311891,-0.3287572764942357,-1.7132227959873785,1,1,0,1,0,46,124,0.8895407,1
103,-0.3753698566547759,-0.3327153937266827,-1.6893197069085693,1,1,0,1,0,11,26,0.88945836,1
104,-0.3109019357665694,0.3074943618071983,-1.7132227959873785,0,1,0,1,1,41,26,0.88890415,0
105,0.3982451940037026,0.3439969985064314,-1.0917424799383408,1,1,0,1,0,18,124,0.88881534,0
106,-0.4398377775429825,-0.4303489521270409,1.202954071627336,0,1,0,1,0,41,124,0.88874227,1
107,0.5916489566683223,-0.0406314728751603,-0.231231273101212,1,1,0,1,0,28,124,0.88872105,1
108,-0.3753698566547759,0.3512221331370885,-1.7132227959873785,1,1,0,1,0,30,124,0.8887046,1
109,-0.4398377775429825,-1.7408627196129314,1.728822031361137,1,1,0,1,1,3,124,0.8884701,1
110,-0.5043056984311891,-0.3635635772367058,1.7168704868217326,1,1,0,1,1,28,26,0.88824123,0
111,0.4627131148919091,-1.7408627196129314,-0.2790374512588303,0,1,0,1,0,41,124,0.887945,1
112,0.5271810357801157,-1.7408627196129314,-1.0200332127019136,1,1,0,1,0,29,124,0.88781804,1
113,-0.5687736193193956,0.1995571331509463,1.3344210615607863,0,1,0,1,0,41,26,0.8871154,0
114,-0.6332415402076021,0.3288556294108803,-0.8885662227684633,1,1,0,1,0,11,26,0.8869168,0
115,-0.5687736193193956,-0.1720660958954624,-1.557852716975119,0,1,0,1,0,29,26,0.8869059,1
116,-0.4398377775429825,-0.3320242938924458,-0.9005177673078678,0,1,0,1,0,11,26,0.88688123,1
117,-0.3753698566547759,-0.298788674591423,-1.701271251447974,0,1,0,1,0,28,124,0.88662785,1
118,-0.6332415402076021,0.2700493162430969,-1.725174340526783,1,1,0,1,0,46,26,0.88639253,1
119,-0.3753698566547759,-0.2160451762559842,-0.6614868765197764,1,1,0,1,0,41,124,0.88636285,1
120,-0.3753698566547759,-0.2693226907498734,-0.7810023219138221,1,1,0,1,0,41,124,0.88636285,0
121,-0.3109019357665694,0.711222319516788,1.2507602497849544,1,1,0,1,0,41,26,0.88625264,0
122,0.6561168775565288,1.5612751156280158,1.728822031361137,1,1,0,1,2,28,26,0.8861781,1
123,-0.3109019357665694,0.6042274997254045,-1.7132227959873785,0,1,0,1,1,41,26,0.8860643,0
124,-0.3753698566547759,-0.0702859384896835,-0.7212445992167993,1,1,0,1,0,11,124,0.88587964,1
125,-0.6332415402076021,0.4861122553285745,-1.701271251447974,1,1,0,1,0,3,26,0.8854788,1
126,-0.6332415402076021,-0.5678149918825004,-1.2232094698717912,0,1,0,1,0,41,124,0.8853999,0
127,-0.5687736193193956,-0.6552705345422808,-0.8288085000714405,1,1,0,1,0,29,124,0.88534516,0
128,-0.5043056984311891,-0.018830414467873,-0.9005177673078678,1,1,0,1,0,29,26,0.8851955,1
129,-0.6332415402076021,0.2772116236160962,-1.199306380792982,1,1,0,1,0,35,26,0.88519335,1
130,-0.4398377775429825,0.128373850224559,1.1192932598515042,0,1,0,1,0,41,26,0.88514113,1
131,-0.3109019357665694,-0.2749143166814255,1.7168704868217326,0,1,0,1,1,10,124,0.88505256,1
132,0.7205847984447353,0.4770023029681807,-1.7132227959873785,1,1,0,1,2,41,26,0.8849818,1
133,-0.3753698566547759,0.6689395751130293,1.0356324480756722,0,1,0,1,0,41,26,0.8848837,1
134,0.6561168775565288,1.447683433782554,1.728822031361137,1,1,0,1,2,11,26,0.88471895,0
135,-0.5043056984311891,0.907934463243636,1.4778395960336412,1,1,0,1,0,41,26,0.8847077,0
