detail_id,order_id,dishes_id,logicprn_name,parent_class_name,dishes_name,itemis_add,counts,amounts,cost,place_order_time,discount_amt,discount_reason,kick_back,add_inprice,add_info,bar_code,picture_file,emp_id
3085,431,609966,NA,NA,÷• øª‚≤® ø∂Ÿ¡˙œ∫,0,1.0,175.0,NA,2016-08-21 11:16:00,NA,NA,NA,0,NA,NA,caipu/101001.jpg,1579
3086,431,609942,NA,NA,¿±≥¥ˆœ”„,0,1.0,58.0,NA,2016-08-21 11:17:00,NA,NA,NA,0,NA,NA,caipu/103003.jpg,1579
3088,431,609970,NA,NA,¬È¿±–°¡˙œ∫,0,1.0,99.0,NA,2016-08-21 11:18:00,NA,NA,NA,0,NA,NA,caipu/101006.jpg,1579
3091,431,609956,NA,NA,◊Œ»ª—Ú≈≈,0,1.0,88.0,NA,2016-08-21 11:20:00,NA,NA,NA,0,NA,NA,caipu/202002.jpg,1579
3094,431,609957,NA,NA,"√…π≈øæ—ÚÕ»


",0,1.0,48.0,NA,2016-08-21 11:20:00,NA,NA,NA,0,NA,NA,caipu/202003.jpg,1579
3099,431,610003,NA,NA,À‚œ„∞¸,0,1.0,13.0,NA,2016-08-21 11:23:00,NA,NA,NA,0,NA,NA,caipu/503002.jpg,1579
3102,431,610027,NA,NA,«Â≥¥æ’ª®≤À,0,1.0,30.0,NA,2016-08-21 11:25:00,NA,NA,NA,0,NA,NA,caipu/304001.jpg,1579
3106,431,610072,NA,NA,53∂»√©Ã®,0,1.0,128.0,NA,2016-08-21 11:26:00,NA,NA,NA,0,NA,NA,caipu/401005.jpg,1579
3104,431,610011,NA,NA,∞◊∑π/¥ÛÕÎ,0,4.0,10.0,NA,2016-08-21 11:26:00,NA,NA,NA,0,NA,NA,caipu/601005.jpg,1579
3109,431,609992,NA,NA,"∑¨«—Ï¿≈£ÎÓ


",0,1.0,35.0,NA,2016-08-21 11:27:00,NA,NA,NA,0,NA,NA,caipu/201002.jpg,1579
3108,431,609930,NA,NA,Õ„∂π Ì◊–÷Ìπ«Ã¿,0,1.0,39.0,NA,2016-08-21 11:27:00,NA,NA,NA,0,NA,NA,caipu/203001.jpg,1579
3112,431,609962,NA,NA,µπ¡¢’ÙÀÛ◊”–∑,0,1.0,169.0,NA,2016-08-21 11:28:00,NA,NA,NA,0,NA,NA,caipu/102002.jpg,1579
3115,431,609965,NA,NA,¥–Ω™≥¥–∑,0,1.0,109.0,NA,2016-08-21 11:29:00,NA,NA,NA,0,NA,NA,caipu/102005.jpg,1579
7202,815,609966,NA,NA,÷• øª‚≤® ø∂Ÿ¡˙œ∫,0,1.0,175.0,NA,2016-08-21 11:30:00,NA,NA,NA,0,NA,NA,caipu/101001.jpg,1435
7204,815,609930,NA,NA,Õ„∂π Ì◊–÷Ìπ«Ã¿,0,1.0,39.0,NA,2016-08-21 11:33:00,NA,NA,NA,0,NA,NA,caipu/203001.jpg,1435
7879,879,609966,NA,NA,÷• øª‚≤® ø∂Ÿ¡˙œ∫,0,1.0,175.0,NA,2016-08-21 11:33:00,NA,NA,NA,0,NA,NA,caipu/101001.jpg,1180
7206,815,609931,NA,NA,ÏÀ÷Ì ÷,0,1.0,58.0,NA,2016-08-21 11:33:00,NA,NA,NA,0,NA,NA,caipu/203002.jpg,1435
7882,879,609931,NA,NA,ÏÀ÷Ì ÷,0,1.0,58.0,NA,2016-08-21 11:33:00,NA,NA,NA,0,NA,NA,caipu/203002.jpg,1180
